OBJECTID,Name,Date,Easting,Northing,Elevation,cell.conc,index_b3b5_b5,index_b3b5
1,BB 20210702 1,7/2/2021 0:00,-121.6928012,48.85277893,1278.05,1393862.87,0.9112656,0.9112656
2,BB 20210702 2,7/2/2021 0:00,-121.6928002,48.85275255,1278.517,447823.226,0.9068223,0.9068223
3,BB 20210702 3,7/2/2021 0:00,-121.6928327,48.85275905,1278.829,147824.9992,0.9360874,0.9360874
4,BB 20210702 4,7/2/2021 0:00,-121.6926478,48.85275148,1278.813,398714.0038,0.7907936,0.7907936
5,BB 20210702 5,7/2/2021 0:00,-121.6927018,48.85274371,1278.78,555958.3049,0.8617107,0.8617107
6,BB 20210702 6,7/2/2021 0:00,-121.6927116,48.85277279,1278.7,140234.4054,0.9004535,0.9004535
7,BB 20210702 7,7/2/2021 0:00,-121.6926616,48.85274636,1278.852,420631.6191,0.89724,0.89724
8,BB 20210702 8,7/2/2021 0:00,-121.6927847,48.85260387,1280.254,329752.1184,0.9287638,0.9287638
9,BB 20210702 9,7/2/2021 0:00,-121.6928992,48.85270409,1279.683,47252.29842,0.9305406,0.9305406
45,BB 20210730 1,7/30/2021 0:00,-121.6955925,48.85366985,1276.593,15895.26847,0.9846817,0.9846817
46,BB 20210730 2,7/30/2021 0:00,-121.6956406,48.85367183,1276.964,17445.72749,,1.000587
47,BB 20210730 5,7/30/2021 0:00,-121.695576,48.85362681,1276.427,41213.17654,0.9136308,0.9136308
48,BB 20210730 3,7/30/2021 0:00,-121.6958064,48.85395831,1277.044,19615.11807,0.9286065,0.9286065
49,BB 20210730 4,7/30/2021 0:00,-121.6960739,48.85370903,1278.841,23542.32264,0.9853128,0.9853128
50,BB 20210730 6,7/30/2021 0:00,-121.6927049,48.85275786,1277.589,179180.9299,0.7119235,0.7119235
51,BB 20210730 7,7/30/2021 0:00,-121.6926419,48.85276259,1277.479,148997.7424,0.6997827,0.6997827
52,BB 20210730 8,7/30/2021 0:00,-121.6926549,48.85275103,1277.666,63943.86525,0.8211227,0.8211227
53,BB 20210730 9,7/30/2021 0:00,-121.6926475,48.85277755,1277.561,24262.63795,0.8687866,0.8687866
54,BB 20210730 10,7/30/2021 0:00,-121.6926945,48.8527789,1277.495,17144.84088,0.8792613,0.8792613
